timestamp_ph,timestamp_utc,latitude,longitude,B14,B15
2025-03-01 17:00:00,2025-03-01 09:00:00,14.77083,120.45537,286.82852212258047,284.8092813077703
2025-03-01 17:10:00,2025-03-01 09:10:00,14.77083,120.45537,284.8298522320957,282.63515976163444
2025-03-01 17:20:00,2025-03-01 09:20:00,14.77083,120.45537,285.7323000552914,283.3742758190214
2025-03-01 17:30:00,2025-03-01 09:30:00,14.77083,120.45537,286.7998117629942,284.83963500676606
2025-03-01 17:40:00,2025-03-01 09:40:00,14.77083,120.45537,288.9891294851605,286.31836405585904
2025-03-01 17:50:00,2025-03-01 09:50:00,14.77083,120.45537,284.18484982201494,281.86058033757683
2025-03-01 18:00:00,2025-03-01 10:00:00,14.77083,120.45537,287.8855965950748,285.5358517042001
2025-03-01 18:10:00,2025-03-01 10:10:00,14.77083,120.45537,288.70719789802,286.4083507611369
2025-03-01 18:20:00,2025-03-01 10:20:00,14.77083,120.45537,289.2422643111118,286.7975695138086
2025-03-01 18:30:00,2025-03-01 10:30:00,14.77083,120.45537,291.77074567380123,288.8442192563605
2025-03-01 18:40:00,2025-03-01 10:40:00,14.77083,120.45537,290.2770614774411,287.3643412487747
2025-03-01 18:50:00,2025-03-01 10:50:00,14.77083,120.45537,291.38534651605977,288.5200720019735
2025-03-01 19:00:00,2025-03-01 11:00:00,14.77083,120.45537,291.46804340843306,288.4905624493079
2025-03-01 19:10:00,2025-03-01 11:10:00,14.77083,120.45537,289.4107076750114,286.9170973323747
2025-03-01 19:20:00,2025-03-01 11:20:00,14.77083,120.45537,285.9929184295161,284.2616204793989
2025-03-01 19:30:00,2025-03-01 11:30:00,14.77083,120.45537,288.16958475447706,285.9577990909503
2025-03-01 19:40:00,2025-03-01 11:40:00,14.77083,120.45537,288.19794533027545,286.10815926248193
2025-03-01 19:50:00,2025-03-01 11:50:00,14.77083,120.45537,288.05607486646875,285.777133174774
2025-03-01 20:00:00,2025-03-01 12:00:00,14.77083,120.45537,288.1412210595778,285.8072633716949
2025-03-01 20:10:00,2025-03-01 12:10:00,14.77083,120.45537,289.6349139635513,287.12600119836134
2025-03-01 20:20:00,2025-03-01 12:20:00,14.77083,120.45537,291.9629662471493,288.96189351654016
2025-03-01 20:30:00,2025-03-01 12:30:00,14.77083,120.45537,291.68827240335514,288.8147819893965
2025-03-01 20:40:00,2025-03-01 12:40:00,14.77083,120.45537,288.1412210595778,285.8373816974001
2025-03-01 20:50:00,2025-03-01 12:50:00,14.77083,120.45537,289.4667986902022,286.8872244818323
2025-03-01 21:00:00,2025-03-01 13:00:00,14.77083,120.45537,289.6349139635513,287.06634925068687
2025-03-01 21:10:00,2025-03-01 13:10:00,14.77083,120.45537,289.7748200407776,287.0066651937557
2025-03-01 21:20:00,2025-03-01 13:20:00,14.77083,120.45537,292.2917478975431,289.431559042999
2025-03-01 21:30:00,2025-03-01 13:30:00,14.77083,120.45537,292.2917478975431,289.431559042999
2025-03-01 21:40:00,2025-03-01 13:40:00,14.77083,120.45537,291.9904015132995,289.226286441708
2025-03-01 21:50:00,2025-03-01 13:50:00,14.77083,120.45537,291.16453979075783,288.5200720019735
2025-03-01 22:00:00,2025-03-01 14:00:00,14.77083,120.45537,292.6468865935102,289.9579538993073
2025-03-01 22:10:00,2025-03-01 14:10:00,14.77083,120.45537,292.7559481372031,290.04548659293914
2025-03-01 22:20:00,2025-03-01 14:20:00,14.77083,120.45537,292.89213240992274,290.1329620818481
2025-03-01 22:30:00,2025-03-01 14:30:00,14.77083,120.45537,292.81044084031294,290.04548659293914
2025-03-01 22:50:00,2025-03-01 14:50:00,14.77083,120.45537,292.70143006691353,289.9287620437142
2025-03-01 23:00:00,2025-03-01 15:00:00,14.77083,120.45537,293.10969113292384,290.3368466605955
2025-03-01 23:10:00,2025-03-01 15:10:00,14.77083,120.45537,293.191167024711,290.39504186164095
2025-03-01 23:20:00,2025-03-01 15:20:00,14.77083,120.45537,293.191167024711,290.4532118522265
2025-03-01 23:30:00,2025-03-01 15:30:00,14.77083,120.45537,293.13685861783665,290.3077372646517
2025-03-01 23:40:00,2025-03-01 15:40:00,14.77083,120.45537,293.055337306999,290.27862621387123
2025-03-01 23:50:00,2025-03-01 15:50:00,14.77083,120.45537,293.13685861783665,290.3077372646517
2025-03-02 00:00:00,2025-03-01 16:00:00,14.77083,120.45537,292.89213240992274,289.9579538993073
2025-03-02 00:10:00,2025-03-01 16:10:00,14.77083,120.45537,292.9193502883261,290.0163138333732
2025-03-02 00:20:00,2025-03-01 16:20:00,14.77083,120.45537,290.13776958139545,286.9768176822156
2025-03-02 00:30:00,2025-03-01 16:30:00,14.77083,120.45537,291.715768702173,288.7558925210523
2025-03-02 00:40:00,2025-03-01 16:40:00,14.77083,120.45537,293.10969113292384,290.2203758221423
2025-03-02 00:50:00,2025-03-01 16:50:00,14.77083,120.45537,293.32683999377497,290.4532118522265
2025-03-02 01:00:00,2025-03-01 17:00:00,14.77083,120.45537,293.2725942149271,290.5113613214228
2025-03-02 01:10:00,2025-03-01 17:10:00,14.77083,120.45537,293.00095831008923,290.1621047760618
2025-03-02 01:20:00,2025-03-01 17:20:00,14.77083,120.45537,293.2725942149271,290.4241323345191
2025-03-02 01:30:00,2025-03-01 17:30:00,14.77083,120.45537,293.29971636908283,290.5404219718036
2025-03-02 01:40:00,2025-03-01 17:40:00,14.77083,120.45537,293.24545808150094,290.3368466605955
2025-03-02 01:50:00,2025-03-01 17:50:00,14.77083,120.45537,293.10969113292384,290.3659450851399
2025-03-02 02:00:00,2025-03-01 18:00:00,14.77083,120.45537,293.29971636908283,290.5113613214228
2025-03-02 02:10:00,2025-03-01 18:10:00,14.77083,120.45537,293.21831568622883,290.4241323345191
2025-03-02 02:20:00,2025-03-01 18:20:00,14.77083,120.45537,293.32683999377497,290.5113613214228
2025-03-02 02:30:00,2025-03-01 18:30:00,14.77083,120.45537,293.38106850150444,290.5113613214228
2025-03-02 02:40:00,2025-03-01 18:40:00,14.77083,120.45537,293.24545808150094,290.3659450851399
2025-03-02 02:50:00,2025-03-01 18:50:00,14.77083,120.45537,293.13685861783665,290.3659450851399
2025-03-02 03:00:00,2025-03-01 19:00:00,14.77083,120.45537,292.6468865935102,289.8411528885211
2025-03-02 03:10:00,2025-03-01 19:10:00,14.77083,120.45537,291.68827240335514,288.78533817398534
2025-03-02 03:20:00,2025-03-01 19:20:00,14.77083,120.45537,292.6741692709401,289.8119448651213
